1442962980,83,1,3,0,0
1442963040,82,1,3,0,0
1442963100,86,1,3,0,0
1442963160,85,1,3,0,0
1442963220,87,1,3,0,0
1442963280,90,1,3,0,0
1442963340,87,1,3,0,0
1442963400,89,1,3,0,0
1442963460,92,1,3,0,0
1442963520,91,1,3,0,0
1442963580,89,1,3,0,0
1442963640,87,1,3,0,0
1442963700,85,1,3,0,0
1442963760,83,1,3,0,0
1442963820,84,1,3,0,0
1442963880,83,1,3,0,0
1442963940,82,1,3,0,0
1442964000,82,1,3,0,0
1442964060,84,1,3,0,0
1442964120,85,1,3,0,0
1442964180,84,1,3,0,0
1442964240,84,1,3,0,0
1442964300,88,1,3,0,0
1442964360,88,1,3,0,0
1442964420,91,1,3,0,0
1442964480,93,1,3,0,0
1442964540,94,1,3,0,0
1442964600,95,1,3,0,0
1442964660,95,1,3,0,0
1442964720,98,1,3,0,0
1442964780,96,1,3,0,0
1442964840,96,1,3,0,0
1442964900,95,1,3,0,0
1442964960,90,1,3,0,0
1442965020,91,1,3,0,0
1442965080,90,1,3,0,0
1442965140,87,1,3,0,0
1442965200,84,1,3,0,0
1442965260,84,1,3,0,0
1442965320,83,1,3,0,0
1442965380,84,1,3,0,0
1442965440,86,1,3,0,0
1442965500,87,1,3,0,0
1442965560,83,1,3,0,0
1442965620,85,1,3,0,0
1442965680,84,1,3,0,0
1442965740,84,1,3,0,0
1442965800,84,1,3,0,0
1442965860,80,1,3,0,0
1442965920,83,1,3,0,0
1442965980,82,1,3,0,0
1442966040,83,1,3,0,0
1442966100,82,1,3,0,0
1442966160,81,1,3,0,0
1442966220,80,1,3,0,0
1442966280,80,1,3,0,0
1442966340,81,1,3,0,0
1442966400,83,1,3,0,0
1442966460,84,1,3,0,0
1442966520,86,1,3,0,0
1442966580,85,1,3,0,0
1442966640,84,1,3,0,0
1442966700,85,1,3,0,0
1442966760,84,1,3,0,0
1442966820,87,1,3,0,0
1442966880,84,1,3,0,0
1442966940,76,1,3,0,0
1442967000,77,1,3,0,0
1442967060,78,1,3,0,0
1442967120,83,1,3,0,0
1442967180,79,1,3,0,0
1442967240,83,1,3,0,0
1442967300,80,1,3,0,0
1442967360,80,1,3,0,0
